Timepoint|^|Potency Assay (Cell Based)|^|Potency Assay (Cell Based)|^|Appearance (Before Reconstitution)|^|CGE (reduced)|^|CGE (reduced)|^|CGE (reduced)|^|Appearance (Coloration)|^|Appearance (Coloration)|^|Appearance (Coloration)|^|Protein Concentration (UV)|^|Protein Concentration (UV)|^|Charge Isoforms (IEX)|^|Charge Isoforms (IEX)|^|Charge Isoforms (IEX)|^|Charge Isoforms (IEX)|^|Charge Isoforms (IEX)|^|Charge Isoforms (IEX)|^|Lys-C Digest|^|Appearance (Visible Particulates)|^|pH|^|pH|^|Reconstitution Time|^|Reconstitution Time|^|Reconstitution Time|^|Reconstitution Time|^|Reconstitution Time|^|Size Exclusion HPLC|^|Size Exclusion HPLC|^|Size Exclusion HPLC|^|Appearance (Clarity)|^|Appearance (Clarity)|^|Residual Moisture|^|Residual Moisture|^|Residual Moisture|^|Residual Moisture|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Subvisible Particles|^|Container Closure|^|Residual Moisture|^|Residual Moisture|^|Residual Moisture|^|Residual Moisture|^|Residual Moisture|^|CGE (reduced)|^|Appearance (Coloration)|^|Appearance (Coloration)|^|CGE (reduced)|^|Size Exclusion HPLC|^|Size Exclusion HPLC|^|Size Exclusion HPLC|^|CGE (reducing)|^|CGE (reducing)|^|CGE (reducing)|^|CGE (reducing)|^|Appearance (Before Reconstitution)|^|Appearance (Before Reconstitution)|^|Appearance (Before Reconstitution)|^|Appearance (Before Reconstitution)|^|Appearance (Before Reconstitution)|^|Lys-C Digest|^|Lys-C Digest|^|CGE (non-reduced)|^|CGE (non-reduced)|^|CGE (non-reduced)|^|CGE (non-reduced)|^|Endotoxin|^|Endotoxin|^|Sterility
Timepoint|^|Relative Potency|^|Specific Activity|^|Visual appearance|^|LOQ|^|Heavy Chain + Light Chain|^|Fragments|^|Color Hue|^|Color Intensity|^|Coloration|^|Protein Concentration - rep|^|Protein Concentration|^|% Acidic Peaks - rep|^|% Acidic Peaks|^|% Main Peak - rep|^|% Main Peak|^|% Basic Peaks - rep|^|% Basic Peaks|^|Oxidation at Fc-Met-1|^|Visible particulates|^|pH - rep|^|pH|^|Minutes|^|Seconds|^|Rounding Interval|^|Total Time|^|Reconstitution Time|^|Monomer|^|HMMS|^|LMMS|^|Turbidity - Rep|^|Turbidity|^|LOQ|^|Manual Entry - Moisture - Replicate|^|Moisture - Rep|^|Moisture|^|Light Obscuration: ≥ 2µm - rep|^|Light Obscuration: ≥ 2µm|^|Light Obscuration: ≥ 5µm - rep|^|Light Obscuration: ≥ 5µm|^|Light Obscuration: ≥ 8µm - rep|^|Light Obscuration: ≥ 8µm|^|Light Obscuration: ≥ 10µm - rep|^|Light Obscuration: ≥ 10µm|^|Light Obscuration: ≥ 25µm - rep|^|Light Obscuration: ≥ 25µm|^|Particulate Matter|^|Dye Ingress|^|Diluent Weight|^|Sample Weight|^|Cake Weight|^|Instrument Reading|^|Average H2O in Blank Injections|^|Other|^|Color Result|^|Color Description|^|LOQ (% Area)|^|Peak 1 (% Area) - rep|^|Peak 2 (% Area) - rep|^|Peak 3 (% Area) - rep|^|LOQ (% Area)|^|Heavy Chain + Light Chain|^|Fragments|^|Other|^|Color|^|Uniformity|^|Absence of Foreign Matter|^|Absence of Moisture|^|Absence of Other Defects|^|LOQ|^|LOQ (% Area)|^|LOQ (% Area)|^|Intact IgG|^|Non-Reduced Percent Fragment|^|Percent Other|^|Endotoxin - rep|^|Endotoxin|^|Sterility
Acceptance Criteria|^|55 - 158% potency relative to reference material|^|550 - 1580 U/mg|^|White cake essentially free from visible particulates|^|-|^|≥ 95.0% IgG as heavy + light chain|^|Report Results|^|-|^|-|^|Not more intensely colored than level 5 of the color standard|^|-|^|Report Results|^|-|^|17.0 - 33.0%|^|-|^|≥ 50.0%|^|-|^|7.0 - 24.0%|^|-|^|Essentially Free of Visible Particles|^|-|^|6.0 ± 0.5|^|-|^|-|^|-|^|-|^|Report Results|^|≥ 95.0%|^|≤ 5.0%|^|-|^|-|^|≤ 18 NTU|^|-|^|-|^|-|^|≤ 2%|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|Report Results|^|-|^|Report Results|^|Meets compendial requirements|^|Pass|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|≥ 95.0% IgG as heavy + light chain|^|Report Results|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|-|^|≤ 0.63 EU/mg|^|No growth detected
1|^|82|^|817|^|White cake essentially free from visible particulates|^|0.3|^|99.5|^|NMT 0.3|^|B|^|9|^|≤B9|^|21.3|^|21.3|^|23.8|^|23.8|^|59.5|^|59.5|^|16.7|^|16.7|^|1.4|^|Essentially Free of Visible Particles|^|5.9|^|5.9|^|6|^|20|^|Not available|^|380|^|6 min 20 sec|^|99.5|^|0.3|^|0.2|^|5|^|5|^|0.2|^|0.3|^|0.3|^|0.3|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
3|^|68|^|685|^|White cake essentially free from visible particulates|^|0.3|^|100.0|^|NMT 0.3|^|B|^|9|^|≤B9|^|22.5|^|22.5|^|24.0|^|24.0|^|58.9|^|58.9|^|17.2|^|17.2|^|2.3|^|Essentially Free of Visible Particles|^|5.9|^|5.9|^|5|^|8|^|Not available|^|308|^|5 min 8 sec|^|99.4|^|0.3|^|0.3|^|4|^|4|^|0.2|^|0.2|^|NMT 0.2|^|NMT 0.2|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
6|^|92|^|919|^|White cake essentially free from visible particulates|^|0.3|^|100.0|^|NMT 0.3|^|B|^|9|^|≤B9|^|21.4|^|21.4|^|23.2|^|23.2|^|59.5|^|59.5|^|17.3|^|17.3|^|1.3|^|Essentially Free of Visible Particles|^|5.9|^|5.9|^|4|^|38|^|Not available|^|278|^|4 min 38 sec|^|99.4|^|0.4|^|0.3|^|3|^|3|^|0.2|^|0.2|^|NMT 0.2|^|NMT 0.2|^|11516|^|11140|^|3416|^|3236|^|468|^|460|^|224|^|221|^|0|^|1|^|Meets compendial requirements|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
9|^|109|^|1092|^|White cake essentially free from visible particulates|^|0.3|^|100.0|^|NMT 0.3|^|B|^|9|^|≤B9|^|21.2|^|21.2|^|23.4|^|23.4|^|59.1|^|59.1|^|17.5|^|17.5|^|1.3|^|Essentially Free of Visible Particles|^|5.8|^|5.8|^|5|^|30|^|Not available|^|330|^|5 min 30 sec|^|99.3|^|0.4|^|0.3|^|5|^|5|^|0.2|^|0.2|^|NMT 0.2|^|NMT 0.2|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
12|^|122|^|1224|^|White cake essentially free from visible particulates|^|0.3|^|100.0|^|NMT 0.3|^|B|^|9|^|≤B9|^|21.3|^|21.3|^|23.3|^|23.3|^|59.3|^|59.3|^|17.4|^|17.4|^|1.3|^|Essentially Free of Visible Particles|^|6.0|^|6.0|^|2|^|5|^|Not available|^|125|^|2 min 5 sec|^|99.4|^|0.4|^|0.2|^|3|^|3|^|0.2|^|0.2|^|NMT 0.2|^|NMT 0.2|^|10932|^|10709|^|2612|^|2523|^|368|^|363|^|180|^|161|^|8|^|7|^|Meets compendial requirements|^|Pass|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
18|^|87|^|872|^|White cake essentially free from visible particulates|^|0.3|^|99.7|^|NMT 0.3|^|B|^|8|^|≤B8|^|21.4|^|21.4|^|23.1|^|23.1|^|58.7|^|58.7|^|18.3|^|18.3|^|1.1|^|Essentially Free of Visible Particles|^|6.0|^|6.0|^|3|^|10|^|Not available|^|190|^|3 min 10 sec|^|99.5|^|0.4|^|0.2|^|3|^|3|^|0.2|^|NR|^|NMT 0.2|^|NMT 0.2|^|12344|^|11947|^|3364|^|3216|^|528|^|512|^|188|^|193|^|0|^|0|^|Meets compendial requirements|^|NR|^|24.2397|^|1.9883|^|0.8779|^|301.4|^|95.23723902|^|NMT 0.3|^|Not more intensely colored than level 8 of the color standard|^|Very Very Slightly Brown|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
24|^|126|^|1257|^|White cake essentially free from visible particulates|^|NR|^|100.0|^|NMT 0.3|^|B|^|9|^|≤B9|^|21.3|^|21.3|^|23.4|^|23.4|^|59.0|^|59.0|^|17.5|^|17.5|^|1.3|^|Essentially Free of Visible Particles|^|5.9|^|5.9|^|3|^|25|^|30|^|210|^|3 min 30 sec|^|99.3|^|0.4|^|0.2|^|3|^|3|^|0.2|^|NR|^|NMT 0.2|^|NMT 0.2|^|8776|^|8572|^|1652|^|1639|^|192|^|249|^|52|^|143|^|4|^|65|^|Meets compendial requirements|^|Pass|^|12.3102|^|2.2006|^|0.8815|^|430.1|^|29.41615498|^|NMT 0.3|^|Not more intensely colored than level 9 of the color standard|^|Colorless|^|0.3|^|99.3|^|0.4|^|0.2|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
30|^|102|^|1023|^|White cake essentially free from visible particulates|^|NR|^|NR|^|NR|^|B|^|8|^|≤B8|^|20.5|^|20.5|^|22.7|^|22.7|^|59.1|^|59.1|^|18.1|^|18.1|^|1.3|^|Essentially Free of Visible Particles|^|5.9|^|5.9|^|3|^|10|^|30|^|210|^|3 min 30 sec|^|99.3|^|0.5|^|0.2|^|5|^|5|^|0.2|^|NR|^|NMT 0.2|^|NMT 0.2|^|12844|^|12764|^|2272|^|2241|^|620|^|571|^|232|^|221|^|0|^|0|^|Meets compendial requirements|^|NR|^|23.9051|^|2.0184|^|0.8808|^|328.2|^|84.0091343|^|NR|^|Not more intensely colored than level 8 of the color standard|^|Very Very Slightly Brown|^|NR|^|NR|^|NR|^|NR|^|0.3|^|99.7|^|NMT 0.3|^|NMT 0.3|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR|^|NR
